summary,stage,subject,budget,seed_count,eligible_seed_count,availability_rate,unavailable_seed_count,eligible_candidate_count_median,eligible_candidate_count_min,eligible_candidate_count_max,median_gain,mean_gain,iqr_gain,std_gain,min_gain,max_gain,bootstrap_mean_ci_low,bootstrap_mean_ci_high,positive_count,at_least_5pct_count,at_least_10pct_count,at_least_20pct_count,at_least_30pct_count,median_realised_modularity_loss,mean_realised_modularity_loss,max_realised_modularity_loss,median_coupling,median_cohesion,median_cluster_count,median_singleton_ratio
stage3_balance,stage3,jpetstore,0.010000000000000000208,30,29,0.96666666666666656305,1,2,1,3,0,0.033053383299055799638,0,0.14041769828087791172,-0.15470053837925179518,0.42264973081037410241,-0.01209837796847870045,0.087444771891801498231,3,3,3,3,3,0,0.0011888884582469999487,0.0099158052971639997625,0.25185185185185182677,5.4773809523809520172,4,0
stage3_balance,stage3,jpetstore,0.025000000000000001388,30,30,1,0,3,2,5,0.18350341907227391003,0.30535297148466350459,0.23914631173810010911,0.31389095990419507709,0,1,0.20260190560610891186,0.42123062997652949146,23,23,23,11,11,0.011343184780135299322,0.0089182486214640002004,0.017983602374828499409,0.25185185185185182677,4.9690476190476191576,4,0
stage3_balance,stage3,jpetstore,0.050000000000000002776,30,30,1,0,6.5,4,11,0.42264973081037410241,0.39263234780135930491,0.23914631173810010911,0.31802927927891588844,0,1,0.28466080407675592445,0.50857543525056603251,25,25,25,18,18,0.01193965011963789985,0.015695428018470899273,0.04150433385509690043,0.25802469135802458267,4.9648809523809518396,4,0
stage3_balance,stage3,jpetstore,0.10000000000000000555,30,30,1,0,13,6,20,0.42264973081037410241,0.52666641969618122054,0.76376261582597326782,0.34468007752165652491,0,1,0.40828162469672030221,0.64941262060096294206,28,28,28,23,21,0.023679329200598599192,0.036661127239043501957,0.097144551478751298146,0.27407407407407402555,4.8999999999999994671,4,0
stage3_balance,stage3,jpetstore,0.14999999999999991118,30,30,1,0,25,14,35,0.59175170953613687175,0.6942277534286078744,0.5773502691896259531,0.30485157478401470055,0.18350341907227391003,1,0.58769635373865580785,0.79842434201814904693,30,30,30,29,27,0.073141131284434696136,0.070671374030887496032,0.13855234759103848829,0.29629629629629622434,4.8208333333333328596,4,0
stage3_balance,stage3,jpetstore,0.2000000000000000111,30,30,1,0,39,29,52,1,0.82154828477860353253,0.40824829046386301723,0.24876588911556349326,0.2362373841740265934,1,0.73095997253785804926,0.90649986439515684022,30,30,30,30,29,0.11322498120961800583,0.10428052948653419862,0.19142055288544421177,0.32345679012345668335,4.8166666666666664298,4,0
stage3_balance,stage3,xerces,0,30,8,0.26666666666666660745,22,1,1,2,0.02270767184090060134,0.024344316007275601521,0.03293597148962199711,0.025987646430554300209,1.6891607846050343802e-16,0.071986044151718400763,0.00905623148191520011,0.042320718958532399512,5,2,0,0,0,0,-4.4740900713068368301e-05,0,0.20879942487419120289,8.3247923817596181095,30,0.012285012285012199273
stage3_balance,stage3,xerces,0.0050000000000000001041,30,27,0.9000000000000000222,3,1,1,3,0.0023040608700921998142,0.015194986274800899653,0.025150096013402598732,0.020624736781600500751,-0.0029738688450226999881,0.071986044151718400763,0.0078784512447733993229,0.02315349066795470076,20,3,0,0,0,0.0012817117315939000922,0.0015653579367977999998,0.004359238430839299655,0.20940330697340039934,8.0711190811117248245,31,0.012285012285012199273
stage3_balance,stage3,xerces,0.010000000000000000208,30,29,0.96666666666666656305,1,2,1,3,0.0057565475389753000338,0.01929219988197949931,0.0331663408242438007,0.023181180406445598546,-0.0031358263147095001913,0.071986044151718400763,0.011261714974298200204,0.027833671189460999773,22,5,0,0,0,0.0028349467741769999313,0.0037016673120298998131,0.0099686795038186008094,0.21072609633357289316,8.0687653361834232868,31,0.01105651105651100051
stage3_balance,stage3,xerces,0.025000000000000001388,30,30,1,0,3,1,4,0.051372034787985597359,0.04763838331998609954,0.034772328216319002558,0.028148551751664800669,-0.00078487773797989996826,0.091050004918583699043,0.037592533941923196583,0.057298137333105000901,29,15,0,0,0,0.018684242526308299237,0.017665042204860498948,0.024538108580830900185,0.22202731847591661296,5.8641267268148862257,29,0.0073710073710073001352
stage3_balance,stage3,xerces,0.050000000000000002776,30,30,1,0,5,3,7,0.082618957677799906292,0.081361861841970500864,0.034547022900027701819,0.023337913966545300454,0.038547146129808702864,0.11801269490114009442,0.073077135441258003756,0.089528747735715605294,30,26,8,0,0,0.03927052608421519736,0.03584107259209730334,0.049608124067667402901,0.23792954708842550815,2.4422337560697706671,28,0.0042997542997542000098
stage3_balance,stage3,xerces,0.10000000000000000555,30,30,1,0,9,7,12,0.1164472187470626946,0.11798062667841019424,0.0366983399488321968,0.026382519856577798384,0.078445036954925495554,0.17799030297307211201,0.10908977824009470636,0.12746301188073680399,30,30,22,0,0,0.088939446075269906755,0.082292088399627399964,0.099988099885752204643,0.27414809489575842072,2.4195307774228274056,28,0.0024570024570024001295
stage3_balance,stage3,xerces,0.14999999999999991118,30,30,1,0,12,9,17,0.13982696951271739172,0.14144030413994509998,0.027832010376932100892,0.022294886487220798299,0.098535395175754200703,0.20133374408081750051,0.13379218869134210101,0.14963965092274300606,30,30,29,1,0,0.1261546039347329895,0.1265881142872763987,0.14704567900942730474,0.30191229331416241655,2.0516501663532995536,28,0.0012285012285012000648
stage3_balance,stage3,xerces,0.2000000000000000111,30,30,1,0,16,11,20,0.16863547996299929621,0.16795096343870410949,0.032691376485105297367,0.024366333148725900087,0.12228115296318030347,0.21764805405872139632,0.159638920699463005,0.17662630128528200579,30,30,30,6,0,0.18624922554348230519,0.18087208591429299043,0.1998645151029765088,0.34501797268152412101,1.8297434251393855931,28,0.0012285012285012000648
